
Fail: Eawdfr2s3WEE	10p8-082wj498	2014-02-06 14:13:26数据清单如下:
位置	数值	参考值	参考精度	实际精度	结果
 391	116.08	115.60	0.0100		0.0042		Pass
 370	100.76	100.60	0.0100		0.0016		Pass
 349	87.89	87.60	0.0100		0.0033		Pass
 328	81.74	81.40	0.0100		0.0042		Pass
 307	75.51	75.20	0.0100		0.0041		Pass
 286	69.23	69.00	0.0100		0.0033		Pass
 265	62.89	62.80	0.0100		0.0014		Pass
 244	56.69	56.60	0.0100		0.0016		Pass
 223	50.45	50.40	0.0100		0.0010		Pass
 202	44.97	44.80	0.0100		0.0038		Pass
 181	39.33	39.20	0.0100		0.0033		Pass
 160	33.60	33.60	0.0100		0.0000		Pass
 139	28.11	28.00	0.0100		0.0039		Pass
 118	22.41	22.40	0.0100		0.0004		Pass
  97	16.83	16.80	0.0100		0.0018		Pass
  76	11.26	11.20	0.0100		0.0054		Pass
  55	 5.61	 5.60	0.0400		0.0018		Pass

Fail: Eawdfr2s3WEE	10p8-082wj492	2014-02-06 14:23:27数据清单如下:
位置	数值	参考值	参考精度	实际精度	结果
  55	 5.60	 5.60	0.0400		0.0000		Pass
  76	11.24	11.20	0.0100		0.0036		Pass
  97	16.83	16.80	0.0100		0.0018		Pass
 118	22.42	22.40	0.0100		0.0009		Pass
 139	28.03	28.00	0.0100		0.0011		Pass
 160	33.60	33.60	0.0100		0.0000		Pass
 181	39.33	39.20	0.0100		0.0033		Pass
 202	44.81	44.80	0.0100		0.0002		Pass
 223	50.64	50.40	0.0100		0.0048		Pass
 244	56.83	56.60	0.0100		0.0041		Pass
 265	63.03	62.80	0.0100		0.0037		Pass
 286	69.27	69.00	0.0100		0.0039		Pass
 307	75.31	75.20	0.0100		0.0015		Pass
 328	81.50	81.40	0.0100		0.0012		Pass
 349	87.74	87.60	0.0100		0.0016		Pass
 370	101.04	100.60	0.0100		0.0044		Pass
 391	115.63	115.60	0.0100		0.0003		Pass
 412	131.22	130.60	0.0100		0.0047		Pass
 433	151.12	150.60	0.0100		0.0035		Pass
